cityid;cityid_new;pop;pop_log
81766;1656;707;2.849419
81767;683;2116;3.325516
81961;2246;322;2.507856
81962;1623;731;2.863917
81963;721;2033;3.308137
81964;1431;917;2.962369
81965;1657;706;2.848805
81966;783;1928;3.285107
81967;1858;568;2.754348
81968;1914;523;2.718502
81969;1670;698;2.843855
81970;1451;897;2.952792
81971;1879;548;2.73878
81972;1539;813;2.91009
81973;2259;315;2.498311
81974;1752;641;2.806858
82161;2262;314;2.49693
82162;865;1751;3.243286
82163;2413;214;2.330414
82361;1481;860;2.934499
82362;1290;1059;3.024896
82562;2201;351;2.545307
82563;1341;1008;3.003461
82564;1839;585;2.767156
82765;2229;330;2.518514
82766;2502;135;2.130334
82767;2318;278;2.444045
82768;1566;792;2.898725
82961;2348;261;2.416641
82962;636;2296;3.360972
82963;2124;398;2.599883
82965;493;2847;3.454387
83161;959;1571;3.196176
83162;2185;363;2.559907
83163;1021;1473;3.168203
83561;1777;620;2.792392
83562;1288;1061;3.025715
83563;656;2206;3.343606
83564;1899;533;2.726727
83565;1821;595;2.774517
83566;1093;1346;3.129045
83568;1754;640;2.80618
83761;1360;988;2.994757
83762;1919;520;2.716003
83763;1479;864;2.936514
83764;762;1960;3.292256
83765;1471;873;2.941014
83766;1920;519;2.715167
83961;730;2020;3.305351
83962;1717;666;2.823474
84361;1426;928;2.967548
84362;1988;480;2.681241
84562;2198;353;2.547775
84761;2269;310;2.491362
84762;1906;529;2.723456
84763;2456;183;2.262451
84764;2225;335;2.525045
84765;1664;704;2.847573
84766;1991;479;2.680336
84767;562;2551;3.40671
84768;2512;121;2.082785
84769;2018;459;2.661813
84770;1998;475;2.676694
84771;1819;597;2.775974
84772;1106;1326;3.122544
84773;2219;338;2.528917
84774;2217;340;2.531479
84775;1903;530;2.724276
84776;961;1567;3.195069
84961;691;2098;3.321805
84962;508;2755;3.440122
84963;2552;52;1.716003
84964;1609;747;2.873321
84965;2242;324;2.510545
84966;1049;1416;3.151063
84967;2086;415;2.618048
84968;2151;380;2.579784
84969;1590;767;2.884795
84971;2380;241;2.382017
85161;1603;751;2.87564
85162;1795;611;2.786041
85163;2042;445;2.64836
85164;711;2059;3.313656
85165;2247;322;2.507856
85361;1450;897;2.952792
85362;2452;186;2.269513
85363;1703;674;2.82866
85364;2471;169;2.227887
85365;2359;254;2.404834
85366;1611;746;2.872739
85367;2209;345;2.537819
85561;1809;605;2.781755
85761;1397;950;2.977724
85762;2527;106;2.025306
85763;777;1937;3.28713
85764;1317;1038;3.016197
85765;1753;640;2.80618
85766;1127;1283;3.108227
85767;1629;725;2.860338
85768;1714;668;2.824776
85769;1827;591;2.771587
85770;2266;312;2.494155
85771;1552;802;2.904174
85772;443;3164;3.500237
85773;1650;714;2.853698
85774;1041;1430;3.155336
85775;2368;246;2.390935
85776;2378;243;2.385606
85777;1114;1303;3.114944
85778;1934;510;2.70757
85779;2223;336;2.526339
85780;1398;949;2.977266
85781;2093;412;2.614897
85782;2125;398;2.599883
85786;2386;234;2.369216
85787;1922;517;2.71349
85788;1350;1005;3.002166
85789;2260;315;2.498311
85790;1391;959;2.981819
85791;2150;382;2.582063
85792;1591;765;2.883662
85962;2387;234;2.369216
85963;1352;1002;3.000868
